item,classes
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
"[['http://dbpedia.org/ontology/GovernmentAgency', 'http://dbpedia.org/ontology/MilitaryUnit', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Agent']]","""[]"""
